행정구역명,통행량
부산광역시 사상구 모라1동,60.876
부산광역시 연제구 연산5동,60.648
부산광역시 사하구 하단1동,60.619
undefined,60.552
부산광역시 남구 대연1동,56.781
부산광역시 북구 구포1동,56.219
부산광역시 동구 초량3동,56.067
부산광역시 부산진구 개금3동,55.981
부산광역시 부산진구 부암1동,55.752
부산광역시 부산진구 가야제1동,55.124
부산광역시 사하구 당리동,54.857
부산광역시 금정구 구서2동,54.495
부산광역시 해운대구 좌2동,54.048
부산광역시 남구 용호1동,52.543
부산광역시 북구 화명3동,52.514
부산광역시 연제구 연산4동,52.114
부산광역시 중구 대청동,52.067
부산광역시 금정구 부곡3동,50.686
부산광역시 강서구 대저1동,49.657
부산광역시 북구 구포2동,49.505
부산광역시 해운대구 좌1동,49.324
부산광역시 남구 문현2동,47.895
부산광역시 연제구 연산1동,46.562
부산광역시 부산진구 개금1동,46.543
부산광역시 강서구 가덕도동,45.429
부산광역시 금정구 부곡2동,44.8
부산광역시 서구 동대신3동,44.705
부산광역시 동구 초량2동,44.419
부산광역시 해운대구 중2동,43.333
부산광역시 수영구 수영동,42.057
부산광역시 부산진구 양정2동,41.457
부산광역시 수영구 망미2동,40.8
부산광역시 연제구 연산6동,39.362
부산광역시 동래구 안락1동,39.152
부산광역시 연제구 거제3동,39.019
부산광역시 서구 서대신1동,38.562
부산광역시 동래구 사직3동,38.257
부산광역시 동래구 사직1동,38.01
부산광역시 부산진구 개금2동,37.476
부산광역시 사상구 감전동,36.952
부산광역시 해운대구 반송2동,36.333
부산광역시 수영구 광안1동,35.248
부산광역시 영도구 청학2동,34.79
부산광역시 북구 화명1동,34.276
부산광역시 부산진구 범천2동,34.095
부산광역시 해운대구 반송1동,33.705
부산광역시 수영구 광안3동,33.533
부산광역시 서구 서대신4동,32.4
부산광역시 영도구 동삼2동,32.095
부산광역시 북구 만덕2동,31.943
부산광역시 동래구 사직2동,31.657
부산광역시 부산진구 당감제1동,31.39
부산광역시 사상구 학장동,31.39
부산광역시 북구 화명2동,31.238
부산광역시 금정구 금성동,31.219
부산광역시 사하구 장림2동,30.838
부산광역시 사하구 감천1동,30.714
부산광역시 중구 보수동,30.533
부산광역시 동구 범일1동,30.495
부산광역시 남구 우암동,30.238
부산광역시 사상구 주례1동,30.229
부산광역시 수영구 광안4동,29.705
부산광역시 남구 감만1동,29.533
부산광역시 사상구 삼락동,29.448
부산광역시 사하구 괴정1동,29.286
부산광역시 사하구 다대2동,29.143
부산광역시 동래구 온천2동,28.343
부산광역시 금정구 서3동,27.952
부산광역시 남구 대연5동,27.886
부산광역시 금정구 구서1동,27.629
부산광역시 북구 구포3동,26.79
부산광역시 해운대구 재송2동,26.543
부산광역시 중구 영주2동,26.057
부산광역시 강서구 가락동,25.867
부산광역시 남구 문현3동,25.752
부산광역시 남구 문현1동,25.552
undefined,25.181
부산광역시 동래구 명장1동,25.162
부산광역시 사하구 괴정3동,24.619
부산광역시 사상구 덕포2동,24.495
부산광역시 동구 수정2동,24.095
부산광역시 금정구 선두구동,23.895
부산광역시 부산진구 연지동,23.81
부산광역시 동구 초량1동,23.81
부산광역시 부산진구 당감4동,23.733
부산광역시 북구 덕천1동,23.676
부산광역시 남구 대연6동,23.21
부산광역시 서구 충무동,23.21
부산광역시 부산진구 가야2동,22.867
부산광역시 수영구 남천2동,22.81
부산광역시 남구 문현4동,22.676
부산광역시 동구 범일5동,22.057
부산광역시 남구 용호2동,21.524
부산광역시 서구 아미동,21.143
부산광역시 연제구 연산3동,21.019
부산광역시 사하구 괴정2동,20.4
부산광역시 남구 용호3동,20.305
부산광역시 서구 부민동,19.838
부산광역시 금정구 서2동,19.724
부산광역시 북구 만덕3동,19.41
부산광역시 해운대구 반여2동,19.133
부산광역시 사상구 모라3동,19.01
부산광역시 동래구 명장2동,18.848
부산광역시 중구 동광동,18.457
부산광역시 북구 만덕1동,18.152
부산광역시 남구 용당동,17.99
부산광역시 해운대구 좌3동,17.819
부산광역시 부산진구 부암3동,17.686
부산광역시 강서구 강동동,16.762
부산광역시 영도구 영선2동,16.743
부산광역시 연제구 연산8동,16.333
부산광역시 동래구 복산동,16.305
부산광역시 금정구 부곡1동,16.086
부산광역시 금정구 부곡4동,15.676
부산광역시 동구 좌천동,15.486
부산광역시 사하구 신평1동,15.448
부산광역시 사하구 신평2동,15.362
부산광역시 사하구 괴정4동,15.314
부산광역시 동구 수정1동,14.905
부산광역시 사하구 장림1동,14.838
부산광역시 남구 용호4동,14.81
부산광역시 사상구 주례3동,14.524
부산광역시 남구 대연4동,13.99
부산광역시 해운대구 반여4동,13.819
부산광역시 영도구 동삼3동,13.6
부산광역시 서구 남부민2동,12.971
부산광역시 영도구 봉래1동,12.771
부산광역시 사하구 구평동,12.667
부산광역시 서구 초장동,12.419
부산광역시 영도구 신선동,12.343
부산광역시 부산진구 당감2동,11.686
부산광역시 연제구 거제4동,11.352
부산광역시 동구 수정5동,10.857
부산광역시 서구 동대신1동,10.657
부산광역시 서구 동대신2동,10.571
부산광역시 사상구 덕포1동,9.943
부산광역시 사하구 감천2동,9.162
부산광역시 영도구 청학1동,8.667
부산광역시 해운대구 반여3동,8.533
부산광역시 금정구 서1동,8.2
부산광역시 서구 남부민1동,7.838
부산광역시 북구 덕천3동,7.486
부산광역시 영도구 봉래2동,7.362
부산광역시 중구 영주1동,6.819
부산광역시 영도구 영선1동,6.8
부산광역시 남구 감만2동,5.514
부산광역시 동구 수정4동,5.476
부산광역시 서구 서대신3동,3.305
부산광역시 동구 초량6동,2.829
부산광역시 중구 남포동,99434.4
부산광역시 부산진구 부전2동,68104.2
부산광역시 중구 광복동,55437.3
부산광역시 중구 부평동,40597.3
부산광역시 부산진구 범천1동,20398.6
부산광역시 부산진구 부전1동,19232.2
부산광역시 수영구 광안2동,15540.1
부산광역시 중구 대청동,15361.6
부산광역시 중구 중앙동,14848.3
부산광역시 동구 범일2동,13901.9
부산광역시 동구 초량2동,13396.4
부산광역시 중구 동광동,11948.6
부산광역시 동래구 명륜동,11830.6
부산광역시 동래구 사직1동,10235.2
부산광역시 연제구 거제1동,9557.3
부산광역시 동구 초량1동,9547.8
부산광역시 해운대구 우3동,9328.9
부산광역시 연제구 연산5동,9109.6
부산광역시 수영구 남천1동,8881.6
부산광역시 해운대구 중1동,8839.9
부산광역시 남구 문현2동,8819.7
부산광역시 부산진구 개금1동,8638.6
부산광역시 영도구 남항동,8466.3
부산광역시 해운대구 좌1동,8394.5
부산광역시 부산진구 전포2동,8038.7
부산광역시 연제구 거제3동,7746.5
부산광역시 부산진구 전포1동,7743.7
부산광역시 중구 보수동,7725.9
부산광역시 동구 수정1동,7620.5
부산광역시 동래구 온천1동,7546.8
부산광역시 부산진구 양정1동,7426.9
부산광역시 연제구 연산9동,7418.7
부산광역시 수영구 민락동,7145
부산광역시 부산진구 부암1동,7064.1
부산광역시 남구 대연1동,7003.6
부산광역시 서구 충무동,6609.5
부산광역시 연제구 연산4동,6603.7
부산광역시 연제구 연산2동,6515.6
부산광역시 해운대구 우2동,6404.4
부산광역시 서구 서대신1동,6397.4
부산광역시 중구 영주2동,6394.8
부산광역시 연제구 연산1동,6308.5
부산광역시 수영구 광안3동,6205.3
부산광역시 수영구 수영동,6035.3
부산광역시 동래구 안락2동,6028.7
부산광역시 동래구 수민동,6001
부산광역시 동래구 사직3동,5759.9
부산광역시 수영구 망미2동,5618.6
부산광역시 연제구 거제2동,5443
부산광역시 북구 구포1동,5150.3
부산광역시 서구 부민동,5140.1
부산광역시 동래구 온천3동,5134.2
부산광역시 동래구 안락1동,4909.6
부산광역시 금정구 서2동,4845.1
부산광역시 서구 동대신1동,4838.7
부산광역시 수영구 남천2동,4742.8
undefined,4666.3
부산광역시 영도구 봉래1동,4561.1
부산광역시 부산진구 양정2동,4518.3
부산광역시 남구 문현3동,4435.3
부산광역시 부산진구 개금2동,4295.6
부산광역시 영도구 영선1동,4146
부산광역시 해운대구 좌2동,4096.3
부산광역시 해운대구 우1동,4075.7
부산광역시 사상구 괘법동,3980.1
부산광역시 수영구 광안1동,3920.4
부산광역시 남구 대연3동,3903.1
부산광역시 수영구 망미1동,3888.1
부산광역시 사상구 모라1동,3687.5
부산광역시 남구 용호1동,3628
부산광역시 금정구 부곡2동,3619.9
부산광역시 남구 대연6동,3603.7
부산광역시 사하구 괴정3동,3561.9
undefined,3404.1
부산광역시 금정구 부곡4동,3378.5
부산광역시 사상구 주례2동,3363.1
부산광역시 중구 영주1동,3320.1
부산광역시 부산진구 가야제1동,3315.9
부산광역시 동구 초량3동,3308.5
부산광역시 금정구 장전1동,3229.8
부산광역시 서구 동대신3동,3199.1
부산광역시 금정구 서3동,3190.1
부산광역시 남구 문현4동,3111.7
부산광역시 서구 아미동,3063
부산광역시 북구 구포2동,3059.7
부산광역시 해운대구 중2동,3049.6
부산광역시 연제구 연산6동,3031.1
부산광역시 동구 범일1동,3015.2
부산광역시 해운대구 재송1동,2958.5
부산광역시 서구 초장동,2940.5
부산광역시 금정구 부곡1동,2939.5
부산광역시 동래구 명장1동,2936.9
부산광역시 북구 덕천2동,2894
부산광역시 부산진구 개금3동,2863.8
부산광역시 연제구 연산3동,2754.1
부산광역시 동구 좌천동,2707.1
부산광역시 동구 수정2동,2681.5
부산광역시 사하구 괴정1동,2675.2
부산광역시 영도구 영선2동,2672
부산광역시 부산진구 당감4동,2644
부산광역시 서구 동대신2동,2549.3
부산광역시 남구 문현1동,2539.9
부산광역시 부산진구 연지동,2526.5
부산광역시 해운대구 좌3동,2495.4
부산광역시 서구 암남동,2489.9
부산광역시 금정구 서1동,2487.4
부산광역시 사상구 주례1동,2403.9
부산광역시 남구 대연5동,2384.6
부산광역시 해운대구 송정동,2338.9
부산광역시 연제구 연산8동,2290.2
부산광역시 동래구 명장2동,2246.3
부산광역시 남구 우암동,2231.9
부산광역시 북구 화명3동,2218.4
부산광역시 동래구 복산동,2208.3
부산광역시 연제구 거제4동,2160.4
부산광역시 서구 남부민2동,2142.2
부산광역시 부산진구 범천2동,2068.6
부산광역시 수영구 광안4동,2030.9
부산광역시 영도구 동삼1동,2029.8
부산광역시 사하구 다대1동,2026.8
부산광역시 영도구 청학2동,2016.3
부산광역시 금정구 남산동,1892.9
부산광역시 사상구 덕포1동,1874.8
부산광역시 서구 남부민1동,1746.4
부산광역시 사하구 하단2동,1738
부산광역시 동래구 사직2동,1737.8
부산광역시 동구 범일5동,1718.6
부산광역시 북구 덕천1동,1700.4
부산광역시 사상구 엄궁동,1685.9
부산광역시 부산진구 가야2동,1640.1
부산광역시 사하구 괴정4동,1638.2
부산광역시 동구 수정5동,1600.7
부산광역시 기장군 기장읍,1587.8
부산광역시 사상구 덕포2동,1587.8
부산광역시 금정구 구서2동,1582.5
부산광역시 해운대구 반여2동,1567.5
부산광역시 영도구 동삼3동,1553
부산광역시 해운대구 재송2동,1545.3
부산광역시 사하구 감천1동,1527.1
부산광역시 해운대구 반여4동,1479.4
부산광역시 사하구 당리동,1476.7
부산광역시 부산진구 초읍동,1471.5
부산광역시 남구 대연4동,1467.5
부산광역시 부산진구 당감2동,1455.3
부산광역시 해운대구 반여1동,1453.1
부산광역시 북구 만덕3동,1398.9
부산광역시 사하구 장림2동,1378.3
부산광역시 부산진구 당감제1동,1377.6
부산광역시 북구 만덕2동,1366.3
부산광역시 해운대구 좌4동,1360.9
부산광역시 사상구 주례3동,1313
부산광역시 사하구 다대2동,1306.3
부산광역시 사하구 하단1동,1258.4
undefined,1252.1
부산광역시 동래구 온천2동,1197.8
부산광역시 영도구 청학1동,1197.4
부산광역시 영도구 신선동,1169.8
부산광역시 남구 감만2동,1135.9
부산광역시 남구 용호2동,1125.5
부산광역시 사상구 감전동,1109.4
부산광역시 영도구 봉래2동,1094.7
부산광역시 금정구 구서1동,1090.3
부산광역시 사하구 감천2동,1045.1
부산광역시 북구 구포3동,1037.3
부산광역시 사하구 괴정2동,1021.2
부산광역시 남구 용호3동,1018.3
부산광역시 부산진구 부암3동,1013.1
부산광역시 남구 감만1동,994.8
부산광역시 북구 덕천3동,979.7
부산광역시 해운대구 반송2동,968.1
부산광역시 남구 용호4동,943.3
부산광역시 북구 금곡동,917.3
부산광역시 사하구 신평1동,912.5
부산광역시 서구 서대신4동,884.8
부산광역시 동구 수정4동,881.2
부산광역시 영도구 동삼2동,851.9
부산광역시 북구 화명1동,721.9
부산광역시 해운대구 반여3동,713
부산광역시 금정구 청룡노포동,687.5
부산광역시 사하구 장림1동,653.3
부산광역시 북구 화명2동,644.4
부산광역시 금정구 부곡3동,623.7
부산광역시 사상구 모라3동,606.6
부산광역시 사하구 신평2동,599
부산광역시 사상구 학장동,598.2
부산광역시 남구 용당동,514.7
부산광역시 서구 서대신3동,492.3
undefined,478.6
부산광역시 해운대구 반송1동,461.6
부산광역시 사상구 삼락동,461.6
부산광역시 기장군 정관읍,438.3
부산광역시 기장군 일광면,398.6
부산광역시 북구 만덕1동,387.1
부산광역시 금정구 금성동,386.5
부산광역시 사하구 구평동,373.5
부산광역시 기장군 장안읍,328.2
부산광역시 강서구 대저1동,293.9
부산광역시 강서구 대저2동,290.8
부산광역시 동구 초량6동,230.7
부산광역시 금정구 선두구동,207.7
부산광역시 기장군 철마면,202.8
부산광역시 강서구 녹산동,193.2
부산광역시 강서구 가덕도동,179.5
부산광역시 강서구 가락동,143.2
부산광역시 강서구 강동동,95.1
